"TRIAL","LOC","ENV","AGROZONE","DOP","DOH","YEAR","TMEAN","TRANGE","TMAX","TMIN","RHMEAN","PRECIPITATION","WINDSPEED"
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.1,6.28,27.76,21.47,90.5,12.38,1.73
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.6,4.38,26.21,21.83,89.69,59.11,1.68
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.04,5.48,26.39,20.91,90.56,1.79,1.96
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.07,5.17,25.85,20.68,88.56,2.14,1.16
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.84,10.33,30.32,19.99,82.19,0.47,1.45
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.56,7.84,28.89,21.05,86.38,0.18,1.07
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.53,8.64,29.92,21.28,80.44,0.16,0.95
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.89,5.97,27.18,21.22,87,4.71,1.51
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.08,8.89,30.58,21.69,78.38,0.87,0.8
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.9,10.71,31.56,20.84,76.5,0,1.48
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.98,11.15,31.73,20.57,72.75,0.03,1.27
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.65,10.93,31.87,20.94,67.88,0.01,0.79
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.06,10.13,31.22,21.08,72.69,0.03,0.94
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.23,11.29,31.48,20.19,71.38,0,1.59
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.4,13.3,31.68,18.37,68.75,0,1.69
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.89,9.26,31.02,21.76,76.19,0.22,1.52
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,26.26,9.33,30.83,21.51,79.12,0.56,0.88
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.22,7.31,29.4,22.08,84.5,14.06,1.15
