env,trait,trial,min,max,mean,std,gen_var,res_var,pev,pheno_var,H2,cv,Accr
Ubiaja20,tyld,19UYT36setAUB,1.625,22.375,9.6484375,4.471107825,9.2512,6.2579,2.5958283227,15.509074954,0.5965034656,25.927214697,0.8481785347
Umudike19,dm,18UYT36setAUM,27,44.5,35.676470588,4.4768751582,10.3098,8.6809,2.6396958145,18.990704233,0.5428887804,8.2584699271,0.8625331654
Umudike19,dyld,18UYT36setAUM,3.4335,21.825,11.769702206,3.7088220984,4.5188,8.2611,1.8903314386,12.779935776,0.3535856411,24.420489138,0.762675675
Umudike19,fyld,18UYT36setAUM,10.5,54.5625,33.001838235,9.5593486196,26.4764,57.5356,12.145260147,84.011948635,0.3151500584,22.984237966,0.7357168374
Umudike19,hi,18UYT36setAUM,0.3657008614,0.8643410853,0.6779202943,0.083957956,0.004397,0.002665,0.0009104439,0.0070611415,0.6226516195,7.6143014764,0.8904618885
Umudike19,tyld,18UYT36setAUM,4.375,50.625,15.976348039,6.9168711241,19.2466,22.9042,6.250491965,42.150818238,0.4566122521,29.955764857,0.8217307479
Zaria20,dm,19UYT36setAZA,28.1,40.6,34.507352941,2.7621814965,3.0552,4.4430,1.4136596085,7.4982535728,0.4074560773,6.1084171786,0.7330042861
Zaria20,dyld,19UYT36setAZA,0.3580625,10.0725,4.5279273897,2.3103417914,0.03337,1.7686,0.0322460055,1.8019319694,0.0185181489,29.370468762,0.1834059424
Zaria20,fyld,19UYT36setAZA,1.0625,26.375,13.014705882,6.4220091263,0.6048,13.5903,0.5590070639,14.195090879,0.0426045557,28.325684201,0.2750971665
Zaria20,hi,19UYT36setAZA,0.2769230769,0.6859344894,0.5007124231,0.0875539494,0.003961,0.002694,0.0011555845,0.0066555827,0.5951652574,10.366772381,0.8415889923
Zaria20,tyld,19UYT36setAZA,0.875,24.5625,12.289522059,5.1391766113,3.3335,9.4438,2.0441906545,12.777324706,0.2608949343,25.005645027,0.6219169498
